affy_probe	gene_symbol
76960_at	LOC100129101
76962_at	LOC100129101
244074_at	LOC100129104
241180_at	LOC100129112
83520_at	LOC100129119
82332_at	KHDC1L
1559870_at	LOC100129129
1559871_s_at	LOC100129129
69715_at	LOC100129149
236777_at	LOC100129195
244730_x_at	LOC100129195
1557062_at	LOC100129195
66547_at	LOC100129195
1557557_at	LOC100129196
1557558_s_at	LOC100129196
223848_at	LOC100129198
79238_at	LOC100129203
65287_at	LOC100129223
47619_at	CXorf51
78383_at	LOC100129250
221979_at	LOC100129250
71878_at	LOC100129250
244489_at	LOC100129268
82730_at	LOC100129268
31326_at	C1orf68
216701_at	C1orf68
217087_at	C1orf68
244079_at	LOC100129335
45534_r_at	LOC100129345
36023_at	LOC100129361
221847_at	LOC100129361
56728_at	LOC100129361
77485_at	LOC100129380
236722_at	LOC100129380
227406_at	LOC100129387
46102_at	LOC100129387
1564459_at	LOC100129427
1559618_at	LOC100129447
224256_at	LOC100129449
1560475_at	LOC100129455
215102_at	DPY19L1P1
57416_at	DPY19L1P1
82169_at	LOC100129461
87665_at	LOC100129461
1556555_at	LOC100129461
67762_at	CXorf28
50463_at	LOC100129476
1561602_at	LOC100129476
89480_r_at	ZNF37BP
242208_at	ZNF37BP
215358_x_at	ZNF37BP
63499_at	ZNF37BP
62256_at	LOC100129484
216107_at	LOC100129503
1560163_at	LOC100129510
62753_r_at	LOC100129510
81753_at	LOC100129515
229699_at	LOC100129550
47390_at	LOC100129550
240058_at	LOC100129597
1563324_at	LOC100129603
238086_at	LOC100129617
44246_at	LOC100129617
1563904_at	LOC100129620
82865_at	LOC100129637
229035_s_at	LOC100129637
232171_x_at	LOC100129637
234738_s_at	LOC100129637
50184_at	LOC100129637
52557_at	LOC100129637
1556616_a_at	LOC100129637
242522_at	TCF24
76189_at	TCF24
1560537_at	LOC100129662
58041_at	LOC100129675
81133_at	LOC100129716
81137_g_at	LOC100129716
81138_at	LOC100129716
239395_at	LOC100129716
81676_at	LOC100129722
238093_at	LOC100129722
86219_at	LOC100129726
231189_at	LOC100129726
1555124_at	LOC100129726
52679_at	LOC100129781
237475_x_at	CCDC152
84338_at	CCDC152
64621_r_at	CCDC152
78357_s_at	LOC100129827
231595_at	LOC100129827
70897_at	ZNF737
49618_at	ZNF737
1560939_at	LOC100129845
68413_at	LOC100129850
244175_at	LOC100129852
74162_r_at	LOC100129852
235869_at	LOC100129858
47380_at	LOC100129858
1556736_at	LOC100129858
60309_at	LOC100129878
234757_at	LOC100129884
236560_at	LOC100129884
1559528_at	LOC100129917
232616_at	LOC100129935
61610_at	LOC100129935
82541_at	LOC100129969
237827_at	LOC100129969
33554_at	LOC100129973
215229_at	LOC100129973
35795_at	HDAC6
206846_s_at	HDAC6
211722_s_at	HDAC6
216224_s_at	HDAC6
72655_at	LOC100130027
242533_at	LOC100130051
55959_at	LOC100130051
1562627_at	LOC100130078
241376_at	LOC100130097
48244_at	LOC100130097
83009_at	LOC100130111
1557405_at	LOC100130111
1557406_s_at	LOC100130111
236693_at	LOC100130155
238661_at	LOC100130155
242193_at	LOC100130155
44382_at	LOC100130155
46882_at	LOC100130155
47837_at	LOC100130155
74719_at	LOC100130207
239860_at	LOC100130232
59341_at	LOC100130232
49852_at	LOC100130238
87409_at	LOC100130248
1555322_at	PP2672
1564444_at	LOC100130264
1558336_at	LOC100130268
54528_at	LOC100130268
47125_at	LOC100130275
1557070_at	LOC100130275
1560503_a_at	LOC100130275
1563793_at	LOC100130278
1562799_at	LOC100130285
88095_at	C17orf107
1555645_at	GAFA2
215970_at	LOC100130331
85411_at	LOC100130353
85413_at	LOC100130353
1564449_at	LOC100130353
1705_s_at	LOC100130354
208413_at	LOC100130354
1559507_at	LOC100130357
1555979_at	FLJ39609
1555980_a_at	FLJ39609
243048_at	CECR7
35955_at	CECR7
76848_at	CECR7
236059_at	LOC100130428
51361_at	LOC100130428
34938_i_at	PP14571
34939_r_at	PP14571
214858_at	PP14571
244518_at	LOC100130452
76195_at	LOC100130452
1564021_at	LOC100130456
239214_at	LOC100130458
58129_at	LOC100130458
237915_at	LOC100130460
240211_at	LOC100130468
57371_at	LOC100130468
243871_at	LOC100130476
60908_at	LOC100130476
244744_at	LOC100130502
69027_at	LOC100130502
239128_at	TMEM221
69798_at	LOC100130520
230477_at	LOC100130522
1557590_at	LOC100130522
57728_at	LOC100130522
71078_at	LOC100130539
73891_at	LOC100130548
1557734_s_at	LOC100130548
58810_at	LOC100130557
1558782_a_at	LOC100130557
71885_at	LOC100130581
67098_at	LOC100130581
88663_at	LOC100130581
1559144_x_at	LOC100130581
1570049_at	LOC100130581
1570115_at	PP12708
82065_at	CXorf64
240043_at	CXorf64
85775_at	LOC100130642
243970_at	LOC100130642
1562017_at	LOC100130654
231540_at	LOC100130691
82873_at	LOC100130691
91941_at	LOC100130691
237730_at	LOC100130700
63037_s_at	LOC100130700
63038_r_at	LOC100130700
63039_at	LOC100130700
86170_at	CECR4
47710_at	CECR4
47711_g_at	CECR4
1559920_a_at	CECR4
67034_at	LOC100130729
215740_at	LOC100130741
76110_at	LRRC69
238214_at	LRRC69
75558_at	LOC100130744
236228_at	LOC100130744
88880_at	LOC100130745
243043_at	EFCAB10
60405_at	EFCAB10
86119_at	LOC100130776
1555907_at	LOC100130776
1564471_at	LOC100130815
70840_at	LOC100130855
75344_at	LOC100130855
75365_at	LOC100130855
75367_g_at	LOC100130855
1562738_a_at	LOC100130855
1564240_at	LOC100130856
1569496_s_at	LOC100130872
86474_at	PSORS1C3
238997_at	PSORS1C3
75397_at	LOC100130890
1564158_a_at	LOC100130894
52480_at	LOC100130899
236098_at	LOC100130933
56035_at	LOC100130933
1553911_at	ZNF663
230574_at	LOC100130938
51882_at	LOC100130938
72543_at	LOC100130950
84425_at	LOC100130950
233840_at	LOC100130950
1554666_at	LOC100130950
73540_at	LOC100130954
215301_at	SYCE1L
1559960_x_at	SYCE1L
230487_at	C6orf99
56184_at	C6orf99
88802_at	LOC100130987
235990_at	LOC100130987
42227_at	C7orf72
67332_at	LOC100130992
1558977_at	LOC100130992
1563970_at	LOC100130998
69788_at	LOC100131000
244659_at	LOC100131015
51899_at	LOC100131015
84821_r_at	ZNF316
227170_at	ZNF316
235910_x_at	ZNF316
243075_at	ZNF316
244029_at	LOC100131043
68358_at	LOC100131043
239546_at	LOC100131053
76538_at	LOC100131053
68923_at	LOC100131067
68926_i_at	LOC100131067
68928_r_at	LOC100131067
235443_at	LOC100131067
242585_at	LOC100131067
50905_at	LOC100131067
60629_at	LOC100131067
77027_f_at	LOC100131068
1555000_at	OK/SW-CL.36
73977_at	LOC100131089
81836_at	LOC100131089
89316_at	LOC100131096
230526_at	LOC100131096
239062_at	LOC100131096
242364_x_at	LOC100131096
54483_at	LOC100131096
230562_at	LOC100131112
54552_at	LOC100131112
87946_at	LOC100131117
231497_at	LOC100131117
76859_at	LOC100131117
78537_f_at	LOC100131138
230195_at	LOC100131138
75047_f_at	LOC100131138
1556145_a_at	LOC100131170
46770_at	LOC100131174
1560147_at	LOC100131176
241810_at	LOC100131180
69229_at	LOC100131180
226482_s_at	TSTD1
53717_at	TSTD1
227318_at	LOC100131199
238014_at	TMEM194B
91208_at	TMEM194B
47900_at	TMEM194B
84375_at	NCRNA00245
228048_at	NCRNA00245
237044_s_at	NCRNA00245
48107_at	NCRNA00245
1554901_at	GAFA1
57260_at	LOC100131257
84132_at	LOC100131262
1558152_at	LOC100131262
1555366_at	NSAP11
87079_s_at	LOC100131283
87081_r_at	LOC100131283
87083_at	LOC100131283
241256_at	LOC100131283
211436_at	LOC100131298
1570308_at	LOC100131298
236593_at	LOC100131303
65259_at	LOC100131303
87606_at	LOC100131316
243355_at	LOC100131316
90447_at	LOC100131316
65323_at	LOC100131316
1564050_at	LOC100131347
1557311_at	LOC100131354
89236_at	LOC100131355
84313_at	LOC100131366
1556505_at	LOC100131366
88707_at	LOC100131434
1556026_at	LOC100131434
76509_at	DBIL5P
223783_s_at	DBIL5P
48316_at	LOC100131490
49783_at	LOC100131496
1558477_at	LOC100131496
224351_at	LOC100131508
36752_at	LOC100131510
215421_at	LOC100131510
221186_at	LOC100131532
1558569_at	LOC100131541
72774_at	LOC100131551
90567_at	LOC100131551
1564485_at	LOC100131551
223896_at	FKSG29
88021_at	LOC100131564
227074_at	LOC100131564
68949_r_at	LOC100131564
62191_at	LOC100131564
1560001_at	LOC100131581
210928_at	LOC100131613
82601_at	LOC100131635
78086_at	LOC100131655
1569832_at	LOC100131655
74960_at	LOC100131662
236973_at	LOC100131662
1568864_at	LOC100131691
72904_r_at	LOC100131727
90437_at	LOC100131733
228675_at	LOC100131733
1553551_s_at	LOC100131754
87723_at	ARMCX4
227444_at	ARMCX4
41580_at	ARMCX4
70421_r_at	ARMCX4
1557726_at	ARMCX4
1564399_a_at	ARMCX4
62542_at	ARMCX4
1564202_at	LOC100131756
1563822_at	LOC100131763
1554971_at	OK/SW-CL.58
82062_at	C14orf164
240320_at	C14orf164
76348_at	NCRNA00271
76351_at	NCRNA00271
1561106_at	NCRNA00271
74231_at	UBE2DNL
79841_at	UBE2DNL
1554763_at	UBE2DNL
54078_at	LOC100131822
39287_at	LOC100131825
217442_at	LOC100131825
58013_at	LOC100131829
1559180_at	LOC100131860
1564660_at	LOC100131864
235236_at	FAM196B
73803_at	FAM196B
79263_at	LOC100131929
237711_at	ZNF705G
227563_at	FAM27E3
44663_at	FAM27E3
1553590_at	FAM27E3
81886_r_at	RRN3P3
91905_s_at	RRN3P3
238412_at	RRN3P3
238413_at	RRN3P3
80868_at	RRN3P3
49266_at	RRN3P3
1557669_at	LOC100132005
63078_at	LOC100132006
239657_x_at	FOXO6
78353_i_at	FOXO6
78355_r_at	FOXO6
1559514_at	LOC100132077
1556844_at	LOC100132078
1564472_at	LOC100132080
232900_at	HERC2P7
233075_at	HERC2P7
1564257_at	LOC100132116
224519_at	LOC100132167
236453_at	LOC100132167
1568838_at	NCRNA00286A
223872_at	LOC100132178
42137_at	LOC100132197
243019_at	LOC100132207
71194_at	LOC100132207
64518_at	LOC100132215
79686_at	LOC100132234
232448_at	LOC100132234
228117_at	LOC100132273
42975_at	LOC100132273
42977_at	LOC100132273
211532_x_at	KIR2DS2
229748_x_at	LOC100132288
80348_at	LOC100132292
224526_at	LOC100132319
219442_at	KIAA0664L3
62541_at	KIAA0664L3
232140_at	LOC100132352
49401_s_at	LOC100132352
63803_at	LOC100132352
1564012_at	LOC100132354
92047_at	LOC100132356
1558310_s_at	LOC100132356
242191_at	NBPF10
39495_at	NBPF10
77440_at	LOC100132433
216810_at	KRTAP4-7
84481_at	LOC100132529
1563420_at	XGPY2
90896_r_at	LOC100132618
242012_at	LOC100132625
80097_at	LOC100132625
