'ID_REF','IDENTIFIER','GDS2545.soft.gz_table_0.GSM152804','GDS2545.soft.gz_table_0.GSM152805','GDS2545.soft.gz_table_0.GSM152806','GDS2545.soft.gz_table_0.GSM152807','GDS2545.soft.gz_table_0.GSM152808','GDS2545.soft.gz_table_0.GSM152809','GDS2545.soft.gz_table_0.GSM152810','GDS2545.soft.gz_table_0.GSM152811','GDS2545.soft.gz_table_0.GSM152812','GDS2545.soft.gz_table_0.GSM152813','GDS2545.soft.gz_table_0.GSM152814','GDS2545.soft.gz_table_0.GSM152815','GDS2545.soft.gz_table_0.GSM152816','GDS2545.soft.gz_table_0.GSM152817','GDS2545.soft.gz_table_0.GSM152818','GDS2545.soft.gz_table_0.GSM152819','GDS2545.soft.gz_table_0.GSM152820','GDS2545.soft.gz_table_0.GSM152821'
'36815_at','AF038185',115.8,201.2,269.8,134.5,286.6,229.6,637.1,368.1,148.8,167.7,113.5,204.6,168.8,329.8,210.5,220.5,190.1,192.9
'36816_s_at','CFTR',88.7,11.4,11.5,103.2,7.3,80.7,20.4,13.5,7.6,31.8,35.6,41.7,105.0,14.2,27.8,8.3,86.5,31.3
'36817_at','CFTR',6.6,1.3,18.5,19.2,2.7,17.5,112.9,6.5,19.7,18.5,0.9,12.0,2.2,11.9,2.1,3.2,2.5,40.5
'36818_at','VAMP4',104.6,125.0,131.3,157.7,116.7,114.6,55.4,172.1,57.5,147.1,127.6,168.1,106.3,152.5,134.3,116.9,81.1,89.7
'36819_at','ATXN3',35.2,20.4,7.4,32.4,17.9,25.3,96.3,63.2,14.8,45.0,37.3,38.7,25.0,34.9,37.4,49.0,56.4,53.0
'36820_r_at','ATXN3',14.8,9.7,1.5,21.5,24.0,10.9,7.9,6.4,5.5,15.8,17.4,1.7,18.8,24.0,13.2,26.5,13.5,5.0
'36821_at','FAM171A1',192.3,138.9,198.7,183.3,158.1,289.3,175.7,141.9,250.0,227.1,310.5,373.0,363.3,145.4,191.9,234.8,76.3,304.2
'36822_at','TAF15',184.8,160.6,270.4,145.7,260.5,199.3,407.2,336.3,127.4,184.6,233.1,278.4,290.9,297.4,208.4,292.9,339.1,255.3
'36823_at','RUNDC3A',95.6,102.8,137.5,79.3,31.8,68.9,202.0,165.3,18.2,59.9,49.7,54.2,66.9,44.1,79.7,64.4,92.7,97.0
'36824_at','ASTN1',6.7,2.8,5.7,3.9,5.1,20.8,5.3,3.3,1.3,4.1,0.7,2.5,23.6,23.4,45.5,4.3,15.2,17.3
'36825_at','TRIM22',107.3,40.8,125.4,356.4,103.1,116.1,34.8,22.2,59.0,265.8,201.4,190.8,91.9,93.0,19.8,33.8,24.5,80.1
'36826_at','GTF2F1',540.9,322.3,298.8,376.8,306.9,466.7,709.8,346.9,376.4,369.5,298.9,374.3,386.1,284.0,276.6,419.9,454.5,429.7
'36827_at','ACBD3',214.6,181.1,201.0,219.7,213.7,208.9,153.8,190.4,146.2,301.5,372.8,270.2,203.9,233.9,262.3,176.4,209.0,186.9
'36828_at','ZNF629',136.6,65.0,144.1,108.8,90.2,100.9,23.2,42.9,96.9,118.3,144.0,111.6,137.9,140.8,86.8,102.6,31.3,147.7
'36829_at','PER1',795.4,598.7,793.3,901.2,602.3,1003.0,599.1,644.5,517.8,1289.7,365.4,555.2,985.5,568.7,743.5,1000.1,844.6,447.5
'36830_at','MIPEP',198.4,126.4,15.6,239.0,62.3,226.7,35.1,53.5,320.0,84.7,273.8,322.8,136.5,83.9,59.0,108.8,46.1,175.5
'36831_at','DSTYK',32.4,29.9,4.5,11.0,14.8,57.6,112.5,22.1,26.7,8.2,8.8,48.5,11.2,47.4,23.7,11.7,6.8,33.5
'36832_at','B3GNT3',29.5,59.8,52.1,31.5,19.8,32.0,141.5,76.5,15.2,81.8,47.6,15.3,21.6,25.2,14.9,64.4,70.6,122.6
'36833_at','GLA',141.2,41.7,108.8,309.9,146.7,249.9,154.7,124.2,259.7,262.8,229.3,209.9,120.2,60.3,23.6,164.9,127.4,193.8
'36834_at','MOXD1',190.8,943.3,143.7,89.2,290.5,81.1,101.1,447.2,74.4,270.9,75.6,129.6,610.3,195.1,625.4,197.2,485.5,131.1
'36835_at','PKN2',61.4,55.1,19.3,42.8,18.2,33.4,14.3,21.7,53.5,96.3,92.2,118.5,143.1,59.0,11.3,55.8,88.6,66.4
